 ****************** Start US v. 1.94 at 2014-11-25 22:45:33 ******************
 
 APS: DLSR H7BA 60 pm, Nb=48, coupling 100%, LS-337, M. Borland, 10/01/2013
 energy   6.000 GeV   current 200.0 mA   sige   0.0010000
 sigx    0.0074  mm   sigy   0.0109 mm   sigx1  0.0057 mr   sigy1  0.0038 mr
 period   2.700  cm   N          86      Kx      0.000      Ky      2.282
 emin    1000.0  eV   emax  50000.0 eV   ne      10000
 d       30.000   m   xpc     0.000 mm   ypc     0.000 mm
 xps      0.000  mm   yps     0.000 mm   nxp         0      nyp         0
 mode         2       method      4      iharm       0   
 nphi        20       nalpha     40      calpha2   2.0
 nomega      64       comega    8.0      nsigma      4
 
 e1      3513.5  eV   l1      3.529  A
 ptot    8666.6   W   pd      239.5  W/mm^2
 
 
 Irradiance for   0.000 mm,  0.000 mm  @  30.000 m (ph/s/mm^2/0.1%bw):
 Integrated flux  density  7.430E+16 ph/s/mm^2
 Integrated power density      168.2 W/mm^2
 Contributing harmonics    1 to   14
 
 Energy(eV)   Irradiance          p1      p2      p3      p4
   2127.000   0.000000E+00     0.000   0.000   0.000   0.000
   2131.900   0.000000E+00     0.000   0.000   0.000   0.000
   2136.800   0.000000E+00     0.000   0.000   0.000   0.000
   2141.700   0.000000E+00     0.000   0.000   0.000   0.000
   2146.600   0.000000E+00     0.000   0.000   0.000   0.000
   2151.500   0.000000E+00     0.000   0.000   0.000   0.000
   2156.400   0.000000E+00     0.000   0.000   0.000   0.000
   2161.300   0.000000E+00     0.000   0.000   0.000   0.000
   2166.200   0.000000E+00     0.000   0.000   0.000   0.000
   2171.100   0.000000E+00     0.000   0.000   0.000   0.000
   2176.000   0.000000E+00     0.000   0.000   0.000   0.000
   2180.900   0.000000E+00     0.000   0.000   0.000   0.000
   2185.800   0.000000E+00     0.000   0.000   0.000   0.000
   2190.700   0.000000E+00     0.000   0.000   0.000   0.000
   2195.600   0.000000E+00     0.000   0.000   0.000   0.000
   2200.500   0.000000E+00     0.000   0.000   0.000   0.000
   2205.400   0.000000E+00     0.000   0.000   0.000   0.000
   2210.300   0.000000E+00     0.000   0.000   0.000   0.000
   2215.200   0.000000E+00     0.000   0.000   0.000   0.000
   2220.100   0.000000E+00     0.000   0.000   0.000   0.000
   2225.000   0.000000E+00     0.000   0.000   0.000   0.000
   2229.900   0.000000E+00     0.000   0.000   0.000   0.000
   2234.800   0.000000E+00     0.000   0.000   0.000   0.000
   2239.700   0.000000E+00     0.000   0.000   0.000   0.000
   2244.600   0.000000E+00     0.000   0.000   0.000   0.000
   2249.500   0.000000E+00     0.000   0.000   0.000   0.000
   2254.400   0.000000E+00     0.000   0.000   0.000   0.000
   2259.300   0.000000E+00     0.000   0.000   0.000   0.000
   2264.200   0.000000E+00     0.000   0.000   0.000   0.000
   2269.100   0.000000E+00     0.000   0.000   0.000   0.000
   2274.000   0.000000E+00     0.000   0.000   0.000   0.000
   2278.900   0.000000E+00     0.000   0.000   0.000   0.000
   2283.800   0.000000E+00     0.000   0.000   0.000   0.000
   2288.700   0.000000E+00     0.000   0.000   0.000   0.000
   2293.600   0.000000E+00     0.000   0.000   0.000   0.000
   2298.500   0.000000E+00     0.000   0.000   0.000   0.000
   2303.400   0.000000E+00     0.000   0.000   0.000   0.000
   2308.300   0.000000E+00     0.000   0.000   0.000   0.000
   2313.200   0.000000E+00     0.000   0.000   0.000   0.000
   2318.100   0.000000E+00     0.000   0.000   0.000   0.000
   2323.000   0.000000E+00     0.000   0.000   0.000   0.000
   2327.900   0.000000E+00     0.000   0.000   0.000   0.000
   2332.800   0.000000E+00     0.000   0.000   0.000   0.000
   2337.700   0.000000E+00     0.000   0.000   0.000   0.000
   2342.600   0.000000E+00     0.000   0.000   0.000   0.000
   2347.500   0.000000E+00     0.000   0.000   0.000   0.000
   2352.400   0.000000E+00     0.000   0.000   0.000   0.000
   2357.300   0.000000E+00     0.000   0.000   0.000   0.000
   2362.200   0.000000E+00     0.000   0.000   0.000   0.000
   2367.100   0.000000E+00     0.000   0.000   0.000   0.000
   2372.000   0.000000E+00     0.000   0.000   0.000   0.000
   2376.900   0.000000E+00     0.000   0.000   0.000   0.000
   2381.800   0.000000E+00     0.000   0.000   0.000   0.000
   2386.700   0.000000E+00     0.000   0.000   0.000   0.000
   2391.600   0.000000E+00     0.000   0.000   0.000   0.000
   2396.500   0.000000E+00     0.000   0.000   0.000   0.000
   2401.400   0.000000E+00     0.000   0.000   0.000   0.000
   2406.300   0.000000E+00     0.000   0.000   0.000   0.000
   2411.200   0.000000E+00     0.000   0.000   0.000   0.000
   2416.100   0.000000E+00     0.000   0.000   0.000   0.000
   2421.000   0.000000E+00     0.000   0.000   0.000   0.000
   2425.900   0.000000E+00     0.000   0.000   0.000   0.000
   2430.800   0.000000E+00     0.000   0.000   0.000   0.000
   2435.700   0.000000E+00     0.000   0.000   0.000   0.000
   2440.600   0.000000E+00     0.000   0.000   0.000   0.000
   2445.500   0.000000E+00     0.000   0.000   0.000   0.000
   2450.400   0.000000E+00     0.000   0.000   0.000   0.000
   2455.300   0.000000E+00     0.000   0.000   0.000   0.000
   2460.200   0.000000E+00     0.000   0.000   0.000   0.000
   2465.100   0.000000E+00     0.000   0.000   0.000   0.000
   2470.000   0.000000E+00     0.000   0.000   0.000   0.000
   2474.900   0.000000E+00     0.000   0.000   0.000   0.000
   2479.800   0.000000E+00     0.000   0.000   0.000   0.000
   2484.700   0.000000E+00     0.000   0.000   0.000   0.000
   2489.600   0.000000E+00     0.000   0.000   0.000   0.000
   2494.500   0.000000E+00     0.000   0.000   0.000   0.000
   2499.400   0.000000E+00     0.000   0.000   0.000   0.000
   2504.300   0.000000E+00     0.000   0.000   0.000   0.000
   2509.200   0.000000E+00     0.000   0.000   0.000   0.000
   2514.100   0.000000E+00     0.000   0.000   0.000   0.000
   2519.000   0.000000E+00     0.000   0.000   0.000   0.000
   2523.900   0.000000E+00     0.000   0.000   0.000   0.000
   2528.800   0.000000E+00     0.000   0.000   0.000   0.000
   2533.700   0.000000E+00     0.000   0.000   0.000   0.000
   2538.600   0.000000E+00     0.000   0.000   0.000   0.000
   2543.500   0.000000E+00     0.000   0.000   0.000   0.000
   2548.400   0.000000E+00     0.000   0.000   0.000   0.000
   2553.300   0.000000E+00     0.000   0.000   0.000   0.000
   2558.200   0.000000E+00     0.000   0.000   0.000   0.000
   2563.100   0.000000E+00     0.000   0.000   0.000   0.000
   2568.000   0.000000E+00     0.000   0.000   0.000   0.000
   2572.900   0.000000E+00     0.000   0.000   0.000   0.000
   2577.800   0.000000E+00     0.000   0.000   0.000   0.000
   2582.700   0.000000E+00     0.000   0.000   0.000   0.000
   2587.600   0.000000E+00     0.000   0.000   0.000   0.000
   2592.500   0.000000E+00     0.000   0.000   0.000   0.000
   2597.400   0.000000E+00     0.000   0.000   0.000   0.000
   2602.300   0.000000E+00     0.000   0.000   0.000   0.000
   2607.200   0.000000E+00     0.000   0.000   0.000   0.000
   2612.100   0.000000E+00     0.000   0.000   0.000   0.000
   2617.000   0.000000E+00     0.000   0.000   0.000   0.000
   2621.900   0.000000E+00     0.000   0.000   0.000   0.000
   2626.800   0.000000E+00     0.000   0.000   0.000   0.000
   2631.700   0.000000E+00     0.000   0.000   0.000   0.000
   2636.600   0.000000E+00     0.000   0.000   0.000   0.000
   2641.500   0.000000E+00     0.000   0.000   0.000   0.000
   2646.400   0.000000E+00     0.000   0.000   0.000   0.000
   2651.300   0.000000E+00     0.000   0.000   0.000   0.000
